,Station,Latitude,Longitude
108,Michigan Ave & 8th St,41.872772999999995,-87.623981
109,Clark St & Drummond Pl,41.931248,-87.644336
110,Winchester (Ravenswood) Ave & Balmoral Ave,41.979762,-87.67753
111,Wacker Dr & Washington St,41.883143364,-87.63724207899999
112,Damen Ave & Chicago Ave,41.895769,-87.67721999999999
113,Hoyne Ave & Balmoral Ave,41.979851000000004,-87.68193199999999
114,Central Park Blvd & 5th Ave,41.875679,-87.71547
115,Clinton St & 18th St,41.85795,-87.640826
116,Fairbanks St & Superior St,41.895748,-87.620104
117,Lawndale Ave & 30th St,41.8389124,-87.71689549999999
118,Clark St & Lake St,41.886020828,-87.630876058
119,California Ave & Milwaukee Ave,41.922695000000004,-87.697153
120,Cottage Grove Ave & 67th St,41.773720952,-87.60563486
121,State St & 29th St,41.841707,-87.626938
122,Laramie Ave & Kinzie St,41.887832,-87.755527
123,Indiana Ave & Roosevelt Rd,41.867888,-87.623041
124,Canal St & Taylor St,41.870257,-87.63947399999999
125,Warren Park West,42.001785,-87.688829
126,Western Ave & Congress Pkwy,41.874748851,-87.686445276
127,Halsted St & 51st St,41.80183164,-87.645213904
128,Tripp Ave & 31st St,41.836966,-87.730502
129,Ashland Ave & McDowell Ave,41.80887,-87.66454
130,Damen Ave & Madison St,41.881370000000004,-87.67493
131,Halsted St & 56th St,41.792929646,-87.644990057
132,Drake Ave & Addison St,41.947326000000004,-87.717582
133,Elizabeth St & 47th St,41.80839,-87.656526
134,Clark St & Bryn Mawr Ave,41.983593,-87.669154
135,Halsted & 63rd - Kennedy-King Vaccination Site,41.779381142,-87.644620815
136,Wabash Ave & Adams St,41.879472352,-87.625688606
137,Damen Ave & Division St,41.903265999999995,-87.678435
138,Lake Park Ave & 56th St,41.793242,-87.58778199999999
139,California Ave & Montrose Ave,41.961068,-87.69543900000001
140,Ashland Ave & Lake St,41.88592,-87.66717
141,Montrose Harbor,41.963982,-87.638181
142,Damen Ave & Clybourn Ave,41.931931,-87.677856
143,Bennett Ave & 79th St,41.751785,-87.578496
144,Lawler Ave & 50th St,41.802209000000005,-87.7489007
145,Emerald Ave & 28th St,41.843579999999996,-87.645368
146,Conservatory Dr & Lake St,41.885502,-87.71686600000001
147,Burnham Harbor,41.856268,-87.613348
148,Larrabee St & Webster Ave,41.921822,-87.64414000000001
149,Paulina St & 18th St,41.857901,-87.668745
150,Wabash Ave & 16th St,41.860384,-87.625813
151,Ellis Ave & 83rd St,41.744122999999995,-87.599034
152,Phillips Ave & 83rd St,41.744531,-87.56506
153,Avers Ave & Belmont Ave,41.939408,-87.723574
154,Buckingham Fountain,41.876535194,-87.620472908
155,Western Blvd & 48th Pl,41.805661,-87.683392
156,MLK Jr Dr & Pershing Rd,41.8246,-87.61678
157,Western Ave & Roscoe St,41.943034000000004,-87.687288
158,Central St Metra,42.063598,-87.69873
159,Cicero Ave & Flournoy St,41.872131,-87.746619
160,Clifton Ave & Armitage Ave,41.918215999999994,-87.656936
161,California Ave & Marquette Rd,41.7715789,-87.6933566
162,Clark St & North Ave,41.911974,-87.63194200000001
163,Sheffield Ave & Wellington Ave,41.936253483,-87.652662098
164,Sedgwick St & Webster Ave,41.922167,-87.638888
165,Indiana Ave & 26th St,41.845687,-87.62248100000001
166,Wood St & Milwaukee Ave,41.907655,-87.672552
167,Austin Blvd & Madison St,41.880281,-87.77445300000001
168,Cottage Grove Ave & 47th St,41.809855,-87.606755
169,Yates Blvd & 75th St,41.758767999999996,-87.56644
170,Damen Ave & 51st St,41.800908,-87.674684
171,Ashland Ave & 66th St,41.774074,-87.663815
172,Kildare Ave & 26th St,41.8442315,-87.73215340000002
